   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 _file_cache.py:13(_FileCache)
        1    0.000    0.000    0.008    0.008 _file_cache.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _file_cache.py:9(_FileCacheError)
        1    0.000    0.000    0.014    0.014 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _ipaddress.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _json.py:109(register_json)
        1    0.000    0.000    0.000    0.000 _json.py:148(register_default_json)
        1    0.000    0.000    0.000    0.000 _json.py:161(register_default_jsonb)
        2    0.000    0.000    0.000    0.000 _json.py:174(_create_json_typecasters)
        1    0.000    0.000    0.000    0.000 _json.py:55(Json)
        1    0.000    0.000    0.000    0.000 _json.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
        1    0.000    0.000    0.002    0.002 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 _range.py:226(RangeAdapter)
        1    0.000    0.000    0.001    0.001 _range.py:274(RangeCaster)
        6    0.000    0.000    0.000    0.000 _range.py:281(__init__)
        6    0.000    0.000    0.000    0.000 _range.py:295(_create_ranges)
        1    0.000    0.000    0.002    0.002 _range.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _range.py:34(Range)
        6    0.000    0.000    0.000    0.000 _range.py:433(_register)
        1    0.000    0.000    0.000    0.000 _range.py:441(NumericRange)
        1    0.000    0.000    0.000    0.000 _range.py:450(DateRange)
        1    0.000    0.000    0.000    0.000 _range.py:455(DateTimeRange)
        1    0.000    0.000    0.000    0.000 _range.py:460(DateTimeTZRange)
        1    0.000    0.000    0.000    0.000 _range.py:470(NumberRangeAdapter)
        1    0.000    0.000    0.000    0.000 _unicodefun.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _unicodefun.py:30(_check_for_unicode_literals)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      440    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       50    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      142    0.001    0.000    0.008    0.000 abc.py:132(__new__)
      142    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
        5    0.000    0.000    0.000    0.000 abc.py:151(register)
